index,ANOMALIA COEQUATA,INTERVALLU
0,0.0.0,166465
1,0.54.41,166462
2,1.49.22,166456
3,2.44.3,166446
4,3.38.44,166431
5,4.33.25,166412
6,5.28.7,166388
7,6.22.49,166360
8,7.17.32,166328
9,8.12.15,166291
10,9.6.59,166250
11,10.1.44,166205
12,10.56.30,166156
13,11.51.17,166103
14,12.46.6,166046
15,13.40.56,165984
16,14.35.47,165918
17,15.30.39,165848
18,16.25.32,165774
19,17.20.27,165695
20,18.15.23,165613
21,19.10.21,165527
22,20.5.21,165437
23,21.0.23,165343
24,21.55.27,165245
25,22.50.33,165143
26,23.45.41,165036
27,24.40.52,164926
28,25.36.5,164812
29,26.31.20,164694
30,27.26.37,164572
31,28.21.57,164447
32,29.17.19,164319
33,30.12.44,164187
34,31.8.11,164051
35,32.3.41,163912
36,32.59.14,163769
37,33.54.50,163623
38,34.50.29,163474
39,35.46.11,163321
40,36.41.57,163165
41,37.37.46,163005
42,38.33.39,162841
43,39.29.35,162674
44,40.25.34,162504
45,41.21.37,162331
46,42.17.43,162155
47,43.13.53,161976
48,44.10.7,161794
49,45.6.24,161609
50,46.2.45,161422
51,46.59.9,161232
52,47.55.38,161039
53,48.52.11,160844
54,49.48.48,160646
55,50.45.30,160446
56,51.42.16,160244
57,52.39.6,160039
58,53.36.0,159830
59,54.32.58,159621
60,55.30.0,159407
61,56.27.7,159193
62,57.24.20,158977
63,58.21.37,158758
64,59.19.0,158537
65,60.16.27,158315
66,61.13.59,158090
67,62.11.36,157864
68,63.9.18,157637
69,64.7.5,157408
70,65.4.57,157177
71,66.2.54,156944
72,67.0.57,156711
73,67.59.4,156477
74,68.57.16,156241
75,69.55.34,156003
76,70.53.57,155765
77,71.52.26,155526
78,72.51.0,155285
79,73.49.40,155043
80,74.48.25,154800
81,75.47.15,154557
82,76.46.11,154314
83,77.45.13,154070
84,78.44.20,153825
85,79.43.32,153580
86,80.42.50,153335
87,81.42.15,153089
88,82.41.45,152843
89,83.41.21,152596
90,84.41.3,152350
91,85.40.52,152104
92,86.40.46,151857
93,87.40.46,151611
94,88.40.52,151366
95,89.41.3,151121
96,90.41.20,150875
97,91.41.43,150630
98,92.42.11,150386
99,93.42.44,150142
100,94.43.23,149900
101,95.44.7,149658
102,96.44.57,149416
103,97.45.55,149175
104,98.46.59,148935
105,99.48.9,148697
106,100.49.25,148461
107,101.50.46,148225
108,102.52.14,147990
109,103.53.47,147756
110,104.55.27,147523
111,105.57.13,147292
112,106.59.4,147063
113,108.1.0,146836
114,109.3.2,146610
115,110.5.9,146385
116,111.7.22,146162
117,112.9.41,145942
118,113.12.5,145724
119,114.14.35,145508
120,115.17.11,145293
121,116.19.52,145080
122,117.22.39,144871
123,118.25.31,144663
124,119.28.29,144458
125,120.21.33,144255
126,121.34.42,144055
127,122.37.56,143857
128,123.41.14,143661
129,124.44.37,143468
130,125.48.6,143278
131,126.51.40,143091
132,127.55.19,142906
133,128.59.3,142724
134,130.2.52,142545
135,131.6.45,142370
136,132.10.43,142198
137,133.14.46,142028
138,134.18.53,141861
139,135.23.4,141697
140,136.27.20,141537
141,137.31.41,141381
142,138.36.6,141228
143,139.40.34,141078
144,140.45.7,140931
145,141.49.44,140788
146,142.54.24,140649
147,143.59.8,140513
148,145.3.56,140381
149,146.8.48,140252
150,147.13.44,140127
151,148.18.42,140005
152,149.23.44,139887
153,150.28.49,139773
154,151.33.57,139663
155,152.39.9,139558
156,153.44.23,139456
157,154.49.40,139358
158,155.55.0,139263
159,157.0.23,139173
160,158.5.49,139087
161,159.11.17,139005
162,160.16.47,138927
163,161.22.19,138852
164,162.27.53,138782
165,163.33.29,138716
166,164.39.6,138654
167,165.44.45,138597
168,166.50.26,138544
169,167.56.8,138495
170,169.1.52,138450
171,170.7.37,138410
172,171.13.24,138374
173,172.19.12,138341
174,173.25.0,138313
175,174.30.49,138289
176,175.36.39,138269
177,176.42.29,138254
178,177.48.19,138244
179,178.54.10,138237
180,180.0.0,138234
